1.0,1.0
2.0,4.0
3.0,9.0
4.0,16.0
5.0,25.0
6.0,36.0
7.0,49.0
8.0,64.0
9.0,81.0
10.0,100.0
11.0,121.0
12.0,144.0
13.0,169.0
14.0,196.0
15.0,225.0
16.0,256.0
17.0,289.0
18.0,324.0
19.0,361.0
20.0,400.0
21.0,441.0
22.0,484.0
23.0,529.0
24.0,576.0
25.0,625.0
26.0,676.0
27.0,729.0
28.0,784.0
29.0,841.0
30.0,900.0
31.0,961.0
32.0,1024.0
33.0,1089.0
34.0,1156.0
35.0,1225.0
36.0,1296.0
37.0,1369.0
38.0,1444.0
39.0,1521.0
40.0,1600.0
41.0,1681.0
42.0,1764.0
43.0,1849.0
44.0,1936.0
45.0,2025.0
46.0,2116.0
47.0,2209.0
48.0,2304.0
49.0,2401.0
50.0,2500.0
51.0,2601.0
52.0,2704.0
53.0,2809.0
54.0,2916.0
55.0,3025.0
56.0,3136.0
57.0,3249.0
58.0,3364.0
59.0,3481.0
60.0,3600.0
61.0,3721.0
62.0,3844.0
63.0,3969.0
64.0,4096.0
65.0,4225.0
66.0,4356.0
67.0,4489.0
68.0,4624.0
69.0,4761.0
70.0,4900.0
71.0,5041.0
72.0,5184.0
73.0,5329.0
74.0,5476.0
75.0,5625.0
76.0,5776.0
77.0,5929.0
78.0,6084.0
79.0,6241.0
80.0,6400.0
81.0,6561.0
82.0,6724.0
83.0,6889.0
84.0,7056.0
85.0,7225.0
86.0,7396.0
87.0,7569.0
88.0,7744.0
89.0,7921.0
90.0,8100.0
91.0,8281.0
92.0,8464.0
93.0,8649.0
94.0,8836.0
95.0,9025.0
96.0,9216.0
97.0,9409.0
98.0,9604.0
99.0,9801.0
100.0,10000.0
101.0,10201.0
102.0,10404.0
103.0,10609.0
104.0,10816.0
105.0,11025.0
106.0,11236.0
107.0,11449.0
108.0,11664.0
109.0,11881.0
110.0,12100.0
111.0,12321.0
112.0,12544.0
113.0,12769.0
114.0,12996.0
115.0,13225.0
116.0,13456.0
117.0,13689.0
118.0,13924.0
119.0,14161.0
120.0,14400.0
121.0,14641.0
122.0,14884.0
123.0,15129.0
124.0,15376.0
125.0,15625.0
126.0,15876.0
127.0,16129.0
128.0,16384.0
129.0,16641.0
130.0,16900.0
131.0,17161.0
132.0,17424.0
133.0,17689.0
134.0,17956.0
135.0,18225.0
136.0,18496.0
137.0,18769.0
138.0,19044.0
139.0,19321.0
140.0,19600.0
141.0,19881.0
142.0,20164.0
143.0,20449.0
144.0,20736.0
145.0,21025.0
146.0,21316.0
147.0,21609.0
148.0,21904.0
149.0,22201.0
150.0,22500.0
151.0,22801.0
152.0,23104.0
153.0,23409.0
154.0,23716.0
155.0,24025.0
156.0,24336.0
157.0,24649.0
158.0,24964.0
159.0,25281.0
160.0,25600.0
161.0,25921.0
162.0,26244.0
163.0,26569.0
164.0,26896.0
165.0,27225.0
166.0,27556.0
167.0,27889.0
168.0,28224.0
169.0,28561.0
170.0,28900.0
171.0,29241.0
172.0,29584.0
173.0,29929.0
174.0,30276.0
175.0,30625.0
176.0,30976.0
177.0,31329.0
178.0,31684.0
179.0,32041.0
180.0,32400.0
181.0,32761.0
182.0,33124.0
183.0,33489.0
184.0,33856.0
185.0,34225.0
186.0,34596.0
187.0,34969.0
188.0,35344.0
189.0,35721.0
190.0,36100.0
191.0,36481.0
192.0,36864.0
193.0,37249.0
194.0,37636.0
195.0,38025.0
196.0,38416.0
197.0,38809.0
198.0,39204.0
199.0,39601.0
200.0,40000.0
201.0,40401.0
202.0,40804.0
203.0,41209.0
204.0,41616.0
205.0,42025.0
206.0,42436.0
207.0,42849.0
208.0,43264.0
209.0,43681.0
210.0,44100.0
211.0,44521.0
212.0,44944.0
213.0,45369.0
214.0,45796.0
215.0,46225.0
216.0,46656.0
217.0,47089.0
218.0,47524.0
219.0,47961.0
220.0,48400.0
221.0,48841.0
222.0,49284.0
223.0,49729.0
224.0,50176.0
225.0,50625.0
226.0,51076.0
227.0,51529.0
228.0,51984.0
229.0,52441.0
230.0,52900.0
231.0,53361.0
232.0,53824.0
233.0,54289.0
234.0,54756.0
235.0,55225.0
236.0,55696.0
237.0,56169.0
238.0,56644.0
239.0,57121.0
240.0,57600.0
241.0,58081.0
242.0,58564.0
243.0,59049.0
244.0,59536.0
245.0,60025.0
246.0,60516.0
247.0,61009.0
248.0,61504.0
249.0,62001.0
250.0,62500.0
251.0,63001.0
252.0,63504.0
253.0,64009.0
254.0,64516.0
255.0,65025.0
256.0,65536.0
257.0,66049.0
258.0,66564.0
259.0,67081.0
260.0,67600.0
261.0,68121.0
262.0,68644.0
263.0,69169.0
264.0,69696.0
265.0,70225.0
266.0,70756.0
267.0,71289.0
268.0,71824.0
269.0,72361.0
270.0,72900.0
271.0,73441.0
272.0,73984.0
273.0,74529.0
274.0,75076.0
275.0,75625.0
276.0,76176.0
277.0,76729.0
278.0,77284.0
279.0,77841.0
280.0,78400.0
281.0,78961.0
282.0,79524.0
283.0,80089.0
284.0,80656.0
285.0,81225.0
286.0,81796.0
287.0,82369.0
288.0,82944.0
289.0,83521.0
290.0,84100.0
291.0,84681.0
292.0,85264.0
293.0,85849.0
294.0,86436.0
295.0,87025.0
296.0,87616.0
297.0,88209.0
298.0,88804.0
299.0,89401.0
300.0,90000.0
301.0,90601.0
302.0,91204.0
303.0,91809.0
304.0,92416.0
305.0,93025.0
306.0,93636.0
307.0,94249.0
308.0,94864.0
309.0,95481.0
310.0,96100.0
311.0,96721.0
312.0,97344.0
313.0,97969.0
314.0,98596.0
315.0,99225.0
316.0,99856.0
317.0,100489.0
318.0,101124.0
319.0,101761.0
320.0,102400.0
321.0,103041.0
322.0,103684.0
323.0,104329.0
324.0,104976.0
325.0,105625.0
326.0,106276.0
327.0,106929.0
328.0,107584.0
329.0,108241.0
330.0,108900.0
331.0,109561.0
332.0,110224.0
333.0,110889.0
334.0,111556.0
335.0,112225.0
336.0,112896.0
337.0,113569.0
338.0,114244.0
339.0,114921.0
340.0,115600.0
341.0,116281.0
342.0,116964.0
343.0,117649.0
344.0,118336.0
345.0,119025.0
346.0,119716.0
347.0,120409.0
348.0,121104.0
349.0,121801.0
350.0,122500.0
351.0,123201.0
352.0,123904.0
353.0,124609.0
354.0,125316.0
355.0,126025.0
356.0,126736.0
357.0,127449.0
358.0,128164.0
359.0,128881.0
